customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn,gender_encoded,Partner_encoded,Dependents_encoded,PhoneService_encoded,PaperlessBilling_encoded,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,charges_mensuelles_fcfa,charges_totales_fcfa,region,forfait,prix_forfait_fcfa,satisfaction_score,segment
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,0,1,0,0,1,False,False,False,False,False,True,False,17910,17910,Yopougon,Fibre-10Mbps,15000,5,Nouveau (<6m)
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,1,0,0,1,0,False,False,True,False,False,False,True,34170,1133700,Plateau,Fibre-25Mbps,25000,5,Fidele (18-36m)
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,1,0,0,1,1,False,False,False,False,False,False,True,32310,64890,Treichville,Fibre-25Mbps,25000,1,Nouveau (<6m)
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,1,0,0,0,0,False,False,True,False,False,False,False,25380,1104450,Cocody,Fibre-25Mbps,25000,5,VIP (>36m)
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,0,0,0,1,1,True,False,False,False,False,True,False,42420,90990,Marcory,Fibre-50Mbps,40000,2,Nouveau (<6m)
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,0,0,0,1,1,True,False,False,False,False,True,False,59790,492300,Treichville,Fibre-100Mbps,75000,2,Actif (6-18m)
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,1,0,1,1,1,True,False,False,False,True,False,False,53460,1169640,Yopougon,Fibre-100Mbps,75000,5,Fidele (18-36m)
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,0,0,0,0,0,False,False,False,False,False,False,True,17850,181140,San-Pedro,Fibre-10Mbps,15000,5,Actif (6-18m)
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,0,1,0,1,1,True,False,False,False,False,True,False,62880,1827630,Marcory,Fibre-100Mbps,75000,3,Fidele (18-36m)
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,1,0,1,1,0,False,False,True,False,False,False,False,33690,2092770,Bouake,Fibre-25Mbps,25000,5,VIP (>36m)
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,1,1,1,1,1,False,False,False,False,False,False,True,29970,352470,Yopougon,Fibre-25Mbps,25000,4,Actif (6-18m)
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,1,0,0,1,0,False,True,False,True,True,False,False,11370,196080,Plateau,Fibre-10Mbps,15000,4,Actif (6-18m)
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,1,1,0,1,0,True,False,True,False,True,False,False,60210,3408660,Yopougon,Fibre-100Mbps,75000,4,VIP (>36m)
